criterio,planoamilempresas_nosso,amil_oficial,satelites_emd,agregadores_quero_joov
Tabela de preco PME por cidade/idade/porte,planejado,nao publica,raso/desatualizado,forte
Rede credenciada INDEXAVEL por cidade/hospital,~10.500 pgs (9.325 prestadores),busca JS nao-rankeavel,nao,nao
Simulador/calculadora de cotacao,cotacao-online,so formulario,nao,generico
Comparativos (interno e vs concorrente),12,zero,zero,lista nao confronta
Paginas profissao/CNAE x cidade x porte,~600,generico,nao,generico
HOSPITALxPRODUTOxCIDADE (Hospital X aceita Amil),oceano azul (dataset),nao,nao,nao
Autor humano / E-E-A-T (corretora SUSEP),autores + SUSEP 201054484,institucional,anonimo,anonimo
Autoridade de dominio/marca,novo,alta,media,alta
Conteudo de objecao (reajuste/pool/portabilidade),planejado,nao,nao,generico
Lead,100% proprio exclusivo,vai para operadora,compartilhado,leiloado/compartilhado
